"status","general_grade","developers","grade_url","name","area","price","green_grade","newest_made_time","given_time","detail_address","around_grade","type","traffic_grade"
"在售","0.4","成都西南电工有限公司","https://cd.fang.lianjia.com//loupan/p_dhjafskg/","东湖郡","新都","20000","0.4","2018.06","2019年12月31日","新繁镇文庙街88号","0.4","底商","0.4"
"在售","0.2","成都御源置业有限公司","https://cd.fang.lianjia.com//loupan/p_ydcafsyl/","驿都城","龙泉驿","36000","0.2","2018.06","2019年09月30日","驿都大道中路900号（龙泉驿世纪广场旁）","0.2","商业","0.3"
"在售","0.3","成都市立成房地产有限责任公司","https://cd.fang.lianjia.com//loupan/p_sxaaxas/","世玺","新都","6900","0.3","2019.02.20","2020年07月31日","新繁镇滨江西路北侧","0.3","住宅","0.3"
"在售","0.1","成都英英房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_cdbjjabcoo/","北京街","天府新区","44000","0.1","2015.12.18","2018年03月03日","华阳街道府河路与南湖路交汇处","0.1","商业","0.1"
"在售","3","成都市华兴住宅房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_szabehu/","蜀镇","双流","20000","3.1","2017.02.16","2018年12月30日","草金路（永康森林公园旁、江安河畔）","3.1","底商","3"
"在售","0","四川双瑞置业有限公司","https://cd.fang.lianjia.com//loupan/p_mzabfrp/","满座","双流","20000","0","2016.06.19","2018年01月30日","双流东升镇一杆旗北路29号","0","商业","0"
"在售","0.9","四川双瑞置业有限公司","https://cd.fang.lianjia.com//loupan/p_mzabfro/","满座","双流","27000","0.9","2016.06.19","2018年01月30日","双流东升镇一杆旗北路29号","1","底商","0.9"
"在售","0.2","四川中瑞天悦实业有限公司","https://cd.fang.lianjia.com//loupan/p_tyhabkln/","天悦汇","金牛","13000","0.2","2017.07","2018年12月31日","洞子口路163号","0.2","写字楼","0.2"
"在售","1.1","成都市立成房地产有限责任公司","https://cd.fang.lianjia.com//loupan/p_sxabotm/","世玺","新都","10000","1.1","2014.03","2016年12月30日","新繁镇滨江西路北侧","1.1","别墅","1.1"
"在售","4","成都锦绣逸都房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_tjhabhpo/","天璟荟","郫都","35000","4","2016.12.16","2018年11月30日","犀浦镇五河路369号","4","底商","4"
